epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,22486.7,0.93481,0.66961,1.24399,0.84547,0.76279,0.86594,0.59857,1.1087,0.77074,1.45898,0.00695575,0.00695575,0.00695575
125,22523.8,0.91568,0.64135,1.22884,0.85102,0.79741,0.87097,0.60615,1.09477,0.72636,1.4417,0.006931,0.006931,0.006931
126,22561.1,0.94285,0.6563,1.24691,0.83418,0.79543,0.85432,0.58945,1.13711,0.75963,1.48823,0.00690625,0.00690625,0.00690625
127,22598.2,0.92165,0.64071,1.23404,0.87376,0.74683,0.85373,0.59367,1.12735,0.78159,1.48378,0.0068815,0.0068815,0.0068815
128,22635.6,0.92133,0.64625,1.23063,0.84696,0.80348,0.87741,0.60864,1.11515,0.72521,1.45885,0.00685675,0.00685675,0.00685675
129,22673,0.93062,0.65202,1.23401,0.84918,0.79041,0.87451,0.60405,1.10996,0.74148,1.47188,0.006832,0.006832,0.006832
130,22710,0.91502,0.65785,1.23516,0.83894,0.76029,0.84562,0.59644,1.09765,0.79509,1.45859,0.00680725,0.00680725,0.00680725
131,22747.3,0.92711,0.64891,1.23665,0.86722,0.74494,0.85579,0.58252,1.13541,0.76962,1.47361,0.0067825,0.0067825,0.0067825
132,22784.5,0.9288,0.65399,1.23008,0.84679,0.79452,0.87127,0.59525,1.10995,0.77563,1.45311,0.00675775,0.00675775,0.00675775
133,22821.7,0.92769,0.65765,1.23986,0.87942,0.75801,0.85911,0.58682,1.13026,0.78274,1.47627,0.006733,0.006733,0.006733
134,22859.2,0.91366,0.62895,1.22432,0.89328,0.77105,0.87308,0.60159,1.11444,0.75312,1.45106,0.00670825,0.00670825,0.00670825
135,22896.4,0.92434,0.63011,1.23704,0.82063,0.79089,0.8657,0.59149,1.10894,0.73366,1.46519,0.0066835,0.0066835,0.0066835
136,22933.8,0.92301,0.63646,1.23633,0.86729,0.77915,0.8606,0.60387,1.10793,0.75077,1.46091,0.00665875,0.00665875,0.00665875
137,22971.2,0.91841,0.63796,1.22766,0.83832,0.79833,0.86327,0.59638,1.11318,0.75426,1.44856,0.006634,0.006634,0.006634
138,23008.4,0.90069,0.62344,1.22232,0.83785,0.79255,0.85587,0.59748,1.10414,0.75327,1.45454,0.00660925,0.00660925,0.00660925
139,23045.7,0.91632,0.64438,1.22618,0.86051,0.77946,0.86277,0.60266,1.08979,0.76079,1.45442,0.0065845,0.0065845,0.0065845
140,23082.8,0.92184,0.64431,1.23445,0.83679,0.79635,0.8645,0.59645,1.10486,0.75318,1.46027,0.00655975,0.00655975,0.00655975
141,23119.9,0.89285,0.61046,1.20579,0.86602,0.76264,0.85099,0.59702,1.10976,0.77049,1.46744,0.006535,0.006535,0.006535
142,23157.4,0.90576,0.63404,1.22682,0.82907,0.79232,0.85491,0.59793,1.10474,0.78849,1.46315,0.00651025,0.00651025,0.00651025
143,23194.6,0.90794,0.62928,1.22823,0.86754,0.76273,0.84867,0.59057,1.12633,0.76505,1.49273,0.0064855,0.0064855,0.0064855
144,23231.8,0.89922,0.61448,1.21652,0.88301,0.76319,0.85683,0.5965,1.12107,0.74367,1.47931,0.00646075,0.00646075,0.00646075
145,23269.1,0.91028,0.61721,1.2191,0.87009,0.77589,0.87018,0.60726,1.08882,0.73018,1.43213,0.006436,0.006436,0.006436
